ts,o,h,l,c,v
2025-12-15T14:30:00Z,220.00,220.31,219.96,220.13,44193
2025-12-15T14:31:00Z,220.13,220.65,220.07,220.60,41994
2025-12-15T14:32:00Z,220.60,221.10,220.51,220.90,49353
2025-12-15T14:33:00Z,220.90,221.00,220.40,220.41,9292
2025-12-15T14:34:00Z,220.41,220.51,220.13,220.19,42039
2025-12-15T14:35:00Z,220.19,220.21,219.84,219.95,43954
2025-12-15T14:36:00Z,219.95,220.13,219.55,219.65,19605
2025-12-15T14:37:00Z,219.65,219.78,219.39,219.46,10209
2025-12-15T14:38:00Z,219.46,219.50,218.84,219.03,44456
2025-12-15T14:39:00Z,219.03,219.30,218.99,219.18,38459
2025-12-15T14:40:00Z,219.18,219.66,219.08,219.54,31842
2025-12-15T14:41:00Z,219.54,219.67,219.48,219.52,9064
2025-12-15T14:42:00Z,219.52,219.96,219.34,219.86,14772
2025-12-15T14:43:00Z,219.86,219.97,219.72,219.83,1976
2025-12-15T14:44:00Z,219.83,219.99,219.72,219.76,45250
2025-12-15T14:45:00Z,219.76,219.92,219.46,219.46,49486
2025-12-15T14:46:00Z,219.46,219.50,219.17,219.18,24660
2025-12-15T14:47:00Z,219.18,219.38,218.91,218.99,10700
2025-12-15T14:48:00Z,218.99,219.10,218.50,218.59,44874
2025-12-15T14:49:00Z,218.59,218.71,218.11,218.17,18382
2025-12-15T14:50:00Z,218.17,218.45,218.17,218.39,27013
2025-12-15T14:51:00Z,218.39,218.54,218.37,218.44,16495
2025-12-15T14:52:00Z,218.44,218.59,218.29,218.46,32413
2025-12-15T14:53:00Z,218.46,219.01,218.42,218.94,30831
2025-12-15T14:54:00Z,218.94,218.95,218.49,218.56,47385
2025-12-15T14:55:00Z,218.56,218.85,218.40,218.66,25277
2025-12-15T14:56:00Z,218.66,218.80,218.06,218.26,41800
2025-12-15T14:57:00Z,218.26,218.33,218.15,218.16,46368
2025-12-15T14:58:00Z,218.16,218.20,217.87,217.97,12733
2025-12-15T14:59:00Z,217.97,218.14,217.96,218.00,15429
2025-12-15T15:00:00Z,218.00,218.07,217.57,217.67,36723
2025-12-15T15:01:00Z,217.67,217.76,217.14,217.28,47233
2025-12-15T15:02:00Z,217.28,217.90,217.09,217.76,22797
2025-12-15T15:03:00Z,217.76,218.12,217.73,217.94,45014
2025-12-15T15:04:00Z,217.94,218.16,217.90,218.14,7780
2025-12-15T15:05:00Z,218.14,218.64,218.10,218.58,1742
2025-12-15T15:06:00Z,218.58,219.02,218.48,218.94,33441
2025-12-15T15:07:00Z,218.94,219.13,218.47,218.63,10960
2025-12-15T15:08:00Z,218.63,218.73,218.00,218.14,34368
2025-12-15T15:09:00Z,218.14,218.25,217.98,218.09,31960
2025-12-15T15:10:00Z,218.09,218.19,218.04,218.19,30472
2025-12-15T15:11:00Z,218.19,218.34,217.97,218.11,18673
2025-12-15T15:12:00Z,218.11,218.50,218.09,218.40,34526
2025-12-15T15:13:00Z,218.40,218.51,218.31,218.50,16771
2025-12-15T15:14:00Z,218.50,218.68,218.34,218.61,2993
2025-12-15T15:15:00Z,218.61,219.09,218.45,219.07,37166
2025-12-15T15:16:00Z,219.07,219.08,218.71,218.75,4864
2025-12-15T15:17:00Z,218.75,219.07,218.62,218.99,32203
2025-12-15T15:18:00Z,218.99,219.33,218.87,219.16,48536
2025-12-15T15:19:00Z,219.16,219.46,219.01,219.46,22104
2025-12-15T15:20:00Z,219.46,219.47,219.26,219.34,40762
2025-12-15T15:21:00Z,219.34,219.36,218.98,219.05,23975
2025-12-15T15:22:00Z,219.05,219.19,218.50,218.60,36216
2025-12-15T15:23:00Z,218.60,218.70,218.26,218.38,39170
2025-12-15T15:24:00Z,218.38,218.81,218.33,218.73,45382
2025-12-15T15:25:00Z,218.73,218.91,218.59,218.83,11569
2025-12-15T15:26:00Z,218.83,219.11,218.78,218.99,31867
2025-12-15T15:27:00Z,218.99,219.29,218.92,219.18,35491
2025-12-15T15:28:00Z,219.18,219.29,219.06,219.28,3660
2025-12-15T15:29:00Z,219.28,219.40,218.81,218.81,36569
2025-12-15T15:30:00Z,218.81,219.10,218.64,219.01,8609
2025-12-15T15:31:00Z,219.01,219.63,218.90,219.46,10886
2025-12-15T15:32:00Z,219.46,219.62,218.94,218.97,20751
2025-12-15T15:33:00Z,218.97,219.27,218.77,219.11,29120
2025-12-15T15:34:00Z,219.11,219.19,219.07,219.14,24233
2025-12-15T15:35:00Z,219.14,219.25,218.78,218.85,4159
2025-12-15T15:36:00Z,218.85,218.98,218.79,218.97,25859
2025-12-15T15:37:00Z,218.97,219.01,218.44,218.54,28431
2025-12-15T15:38:00Z,218.54,218.78,218.50,218.58,7452
2025-12-15T15:39:00Z,218.58,218.73,218.49,218.50,20768
2025-12-15T15:40:00Z,218.50,219.14,218.36,218.95,19816
2025-12-15T15:41:00Z,218.95,219.37,218.86,219.30,36069
2025-12-15T15:42:00Z,219.30,219.94,219.17,219.76,42460
2025-12-15T15:43:00Z,219.76,220.01,219.62,219.92,21228
2025-12-15T15:44:00Z,219.92,220.25,219.87,220.17,35040
2025-12-15T15:45:00Z,220.17,220.28,219.87,220.03,48571
2025-12-15T15:46:00Z,220.03,220.17,219.43,219.57,2520
2025-12-15T15:47:00Z,219.57,219.85,219.48,219.80,30821
2025-12-15T15:48:00Z,219.80,219.86,219.67,219.83,28136
2025-12-15T15:49:00Z,219.83,220.01,219.80,219.80,30059
2025-12-15T15:50:00Z,219.80,219.82,219.49,219.57,4053
2025-12-15T15:51:00Z,219.57,219.79,219.57,219.60,38981
2025-12-15T15:52:00Z,219.60,219.73,219.52,219.62,38084
2025-12-15T15:53:00Z,219.62,220.03,219.59,219.83,9500
